P273;(75,78)
P274;(72,86)
P275;(29,49)
P276;(70,80)
P277;(93,105)
P278;(70,93)
P279;(70,78)
P280;(72,93)
P281;(76,100)
P282;(72,78)
P283;(59,82)
P284;(37,59)
P285;(86,95)
P286;(91,106)
P287;(90,92)
P288;(101,120)
P289;(75,75)
P290;(74,85)
P291;(84,80)
P292;(98,100)
P293;(80,101)
P294;(87,114)
P295;(103,139)
P296;(71,83)
P297;(101,113)
P298;(108,100)
P299;(89,88)
P300;(95,95)
P301;(96,104)
P302;(92,92)
P303;(97,94)
P304;(92,110)
P306;(99,146)
P307;(78,84)
P308;(86,93)
P310;(95,100)
P311;(86,120)
P312;(74,73)
P313;(86,75)
P314;(42,62)
P315;(104,98)
P316;(100,121)
P317;(121,136)
P318;(120,112)
P319;(91,96)
P320;(93,89)
P321;(90,107)
P322;(114,121)
P323;(87,99)
P324;(83,122)
P325;(88,99)
P326;(115,129)
P327;(84,68)
P328;(70,78)
P329;(77,87)
P330;(99,127)
P331;(103,105)
P332;(93,105)
P333;(77,85)
P334;(115,131)
P335;(69,98)
P336;(103,99)
P337;(67,65)
P339;(102,96)
P340;(86,95)
P341;(91,94)
P342;(94,100)
P343;(56,52)
P344;(49,49)
P345;(83,101)
P346;(94,78)
P347;(71,87)
P348;(68,75)
P349;(65,80)
P350;(93,81)
P351;(75,87)
P352;(71,78)
P353;(67,79)
P354;(93,121)
P355;(88,120)
P356;(77,79)
P357;(68,59)
P358;(45,72)
P359;(69,77)
P360;(74,75)
P361;(94,79)
P362;(79,75)
P363;(80,80)
P364;(84,81)
P365;(72,76)
P366;(77,78)
P367;(70,83)
P368;(80,81)
P369;(80,88)
P370;(75,72)
P371;(90,109)
P372;(66,65)
P373;(90,76)
P374;(124,114)
P375;(82,91)
P377;(71,109)
P378;(81,92)
P379;(81,108)
P380;(62,79)
P381;(70,80)
P382;(86,84)
P383;(79,82)
P384;(59,117)
P385;(65,82)
P386;(67,73)
P387;(62,63)
P389;(75,90)
P390;(76,83)
P391;(67,88)
P392;(75,111)
P394;(105,133)
P395;(77,83)
P396;(60,86)
P397;(91,81)
P398;(71,93)
P399;(65,79)
P400;(81,109)
